emp_no,first_name,last_name,dept_name
460902,Nimmagadda,Aamodt,Development
218417,Moto,Aamodt,Development
258861,Sigeru,Aamodt,Development
428594,Breannda,Aamodt,Sales
275120,Jaideep,Aamodt,Sales
471383,Mohammed,Aamodt,Development
484934,Magy,Aamodt,Development
419084,Shen,Aamodt,Development
252763,Felicidad,Aamodt,Development
280448,Theron,Aamodt,Sales
265157,Narain,Aamodt,Sales
421304,Kwee,Acton,Development
461027,Raimond,Acton,Development
297135,Bezalel,Acton,Development
423543,Oldrich,Acton,Development
408216,Shridhar,Acton,Sales
429297,Becky,Acton,Sales
284152,Katsuyuki,Acton,Development
213271,Djenana,Acton,Sales
40881,Hatem,Acton,Development
413496,Naftaly,Acton,Sales
238752,Aluzio,Acton,Development
90793,Jinpo,Acton,Development
261695,Giri,Acton,Development
73542,Shigehito,Acton,Sales
223389,Shuho,Adachi,Sales
462289,Kenroku,Adachi,Development
20043,Chikara,Adachi,Development
92027,Georg,Adachi,Development
405140,Stella,Adachi,Development
448808,Yannik,Adachi,Development
283019,Narain,Aingworth,Development
282119,Foong,Aingworth,Development
259313,Masadi,Aingworth,Sales
485584,Uzi,Aingworth,Development
275285,Mana,Aingworth,Development
422100,Kotesh,Aingworth,Development
211301,Khalid,Aingworth,Development
98358,Basim,Aingworth,Development
435606,Kerhong,Aingworth,Development
28976,Kazuhiko,Aingworth,Development
67574,Lijie,Aingworth,Development
11441,Marlo,Aingworth,Sales
460876,Vidar,Aingworth,Development
211655,Giap,Aingworth,Development
423907,Sanjit,Akaboshi,Sales
243820,Chiranjit,Akaboshi,Development
41798,Margareta,Akaboshi,Development
99481,Arnd,Akaboshi,Sales
18664,Itzchak,Akaboshi,Sales
287982,Stepehn,Akaboshi,Development
456657,Frederique,Akaboshi,Sales
283289,Yechezkel,Akaboshi,Sales
226896,Yurij,Akaboshi,Sales
252510,Bedir,Akazan,Development
448524,Kwangsub,Akazan,Development
53154,Chaosheng,Akazan,Development
268778,Guadalupe,Akazan,Development
240587,Zorica,Akazan,Sales
30425,Rimli,Akazan,Sales
206847,Luise,Akazan,Sales
18775,Shay,Akazan,Development
484602,Kenroku,Akiyama,Development
79509,Vitaly,Akiyama,Sales
78153,Kwan,Akiyama,Development
88015,Dmitry,Akiyama,Development
284762,Chinho,Akiyama,Development
65131,Shakhar,Akiyama,Sales
243435,Moriyoshi,Akiyama,Sales
243923,Owen,Akiyama,Development
412602,Kasidit,Akiyama,Development
232686,Kazuhiko,Akiyama,Sales
98977,Richara,Alameldin,Development
64151,Rasikan,Alameldin,Development
427783,Gennady,Alameldin,Sales
213801,Aruna,Alameldin,Sales
20836,Jingling,Alameldin,Sales
403285,Geoff,Alameldin,Sales
216038,Nahla,Alameldin,Development
475634,Alagu,Alameldin,Development
88924,Qiwen,Alameldin,Development
75370,Kwee,Alameldin,Sales
45390,Sedat,Alameldin,Sales
109334,Tsutomu,Alameldin,Sales
31533,Trygve,Albarhamtoshy,Sales
462231,Anneke,Albarhamtoshy,Sales
211541,Perry,Albarhamtoshy,Development
66961,Lech,Albarhamtoshy,Sales
261569,Thodoros,Albarhamtoshy,Sales
59413,Huei,Albarhamtoshy,Sales
45552,Aloys,Albarhamtoshy,Sales
233966,Shimshon,Albarhamtoshy,Sales
19621,Radhakrishnan,Albarhamtoshy,Development
78410,Sreenivas,Albarhamtoshy,Development
496077,Anyuan,Albarhamtoshy,Sales
225546,Marl,Albarhamtoshy,Development
288274,Selwyn,Alblas,Development
286771,Make,Alblas,Development
36355,Aleksandar,Alblas,Development
433926,Xiaobin,Alblas,Development
245790,Yongmao,Alblas,Sales
265872,Reuven,Alblas,Development
28487,Ziva,Alblas,Sales
206053,Tsuneo,Alblas,Sales
90277,Conor,Alencar,Development
454340,Amabile,Alencar,Development
227910,Saniya,Alencar,Sales
13302,Mack,Alencar,Development
53418,Hiroyasu,Alencar,Sales
256099,Kersti,Alencar,Development
62900,Gio,Alencar,Sales
257953,Kwangyoen,Alencar,Sales
473947,Van,Alencar,Development
267411,Gio,Aloia,Development
456007,Souichi,Aloia,Sales
465194,Yechiam,Aloia,Development
221882,Sahrah,Aloia,Sales
258621,Arne,Aloia,Development
416018,Fen,Aloia,Sales
471529,Munir,Aloia,Sales
81672,Kazuhito,Aloia,Development
288075,Nectarios,Aloia,Development
289170,Taizo,Aloia,Development
36874,Genki,Aloia,Sales
65280,Arun,Aloia,Development
222836,Ishfaq,Aloia,Sales
15971,Arumugam,Aloia,Development
10157,Nigel,Aloisi,Development
277789,Katsuyuki,Aloisi,Development
415731,Uta,Aloisi,Development
215616,Sachar,Aloisi,Development
409694,Chenye,Aloisi,Development
453734,Junsik,Aloisi,Development
30209,Yannis,Aloisi,Sales
228246,Bartek,Aloisi,Sales
294719,Kwok,Aloisi,Development
102870,Marsal,Alpay,Sales
414666,Fai,Alpay,Sales
48840,Gay,Alpay,Development
232031,Zvonko,Alpay,Development
108262,Yannis,Alpay,Development
405888,Leucio,Alpay,Sales
227578,Randy,Alpay,Development
225965,Dhritiman,Alpay,Development
224723,Guadalupe,Alpay,Development
222506,Xudong,Alpay,Development
45514,Jessie,Alpin,Sales
414099,Sadok,Alpin,Development
15504,Kasturi,Alpin,Development
418000,Yuichiro,Alpin,Sales
433873,Uwe,Alpin,Development
52411,Elvis,Alpin,Development
465547,Bernice,Alpin,Sales
464942,Shiv,Alpin,Sales
460613,Odysseas,Alpin,Development
